"CID","CanonicalSMILES","IsomericSMILES"
3941250,"CCN(CC)CCOC(=O)C1(CCCC1)C2=CC=C(C=C2)[N+](=O)[O-]","CCN(CC)CCOC(=O)C1(CCCC1)C2=CC=C(C=C2)[N+](=O)[O-]"
4038180,"CS(=O)(=O)NC1=C(C=CC2=C1CCCC2C3=NCCN3)O","CS(=O)(=O)NC1=C(C=CC2=C1CCCC2C3=NCCN3)O"
4076092,"CCOC(=O)C(C)OC1=CC=CC2=C1C=CN(C2=O)CC(=O)NC3=CC4=C(C=C3)OCCO4","CCOC(=O)C(C)OC1=CC=CC2=C1C=CN(C2=O)CC(=O)NC3=CC4=C(C=C3)OCCO4"
4342838,"CCOC(=O)C1=CC=CC=C1OC(=O)CCCCCCCC(=O)OC2=CC=CC=C2C(=O)OCC","CCOC(=O)C1=CC=CC=C1OC(=O)CCCCCCCC(=O)OC2=CC=CC=C2C(=O)OCC"
4369270,"CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=CC(=O)OC5)O)C)O","C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@@]3(CC[C@@H]4C5=CC(=O)OC5)O)C)O"
4369491,"C1=CC=C(C=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O","C1=CC=C(C=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O"
4369524,"CC1(C2=C(C=CC(=C2)C3=CC=C(N3C)C#N)NC(=S)O1)C","CC1(C2=C(C=CC(=C2)C3=CC=C(N3C)C#N)NC(=S)O1)C"
4369536,"CCNC(=O)C1=C(C(=NN1)C2=CC(=C(C=C2O)O)Cl)C3=CC=C(C=C3)OC","CCNC(=O)C1=C(C(=NN1)C2=CC(=C(C=C2O)O)Cl)C3=CC=C(C=C3)OC"
4464271,"CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2=CC=CC=C2OC","CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2=CC=CC=C2OC"
4521392,"C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5","C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5"
